RecordedDate,age,gender,gender_5_TEXT,country,duration,recall-pos-text,recall-neg-text,trust,trust_3_TEXT,PROLIFIC_PID,af01,af02,af03,af04,af05,af06,af07,af08,af09,af10,af11,af12,af13,af14,af15,af16,as01,as02,as03,as04,as05,as06,as07,as08,as09,as10,as11,as12,as13,as14,as15,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cs01,cs02,cs03,cs04,cs05,cs06,cs07,cs08,cs09,cs10,cs11,cs12,cs13,cs14,cs15,rf01,rf02,rf03,rf04,rf05,rf06,rf07,rf08,rf09,rf10,rf11,rf12,rf13,rf14,rf15,rs01,rs02,rs03,rs04,rs05,rs06,rs07,rs08,rs09,rs10,rs11,rs12,rs13,rs14,rs15,possibleCareless,cf08_dup,as07_dup
12/19/22 14:36,35,Man,NA,Mexico,529,minecraft me gusta construir  me parece relagante,NA,1,NA,5b477fdb56e0140001ac7720,3,3,1,4,5,4,4,6,4,4,2,3,4,3,3,3,7,7,6,6,6,7,6,6,5,6,6,6,6,6,6,3,3,2,3,3,4,3,4,3,3,1,2,4,4,3,4,6,6,5,7,6,6,7,6,6,6,6,6,7,6,6,3,2,3,2,1,3,2,3,3,3,2,3,2,6,2,6,6,6,6,5,4,5,6,7,5,6,6,5,6,6,FALSE,4,6
12/19/22 14:36,27,Man,NA,Mexico,469,"I was playing Vampire Survivors, after trying again and again to upgrade all six weapons for an achievement, I finally did during a run of the game, I feel pretty happy and satisfied since now I can move on to complete every level with my favorite characters.",NA,1,NA,5ab308940527ba0001c15a9f,1,1,2,2,7,2,5,2,2,2,3,2,2,2,1,2,7,6,6,7,7,7,7,7,6,7,7,6,5,2,4,1,2,2,1,3,3,1,3,3,2,1,3,1,2,2,4,6,7,6,5,7,7,6,5,6,5,7,6,6,7,6,1,2,3,1,1,4,1,1,1,4,1,5,1,1,1,4,4,1,4,4,1,4,4,4,4,7,4,4,1,4,FALSE,3,7
12/19/22 14:37,33,Man,NA,Canada,560,I most recently played StarCraft 2. I was playing a custom dense style game. It was a team game that defends against waves of enemies. I had lost tho due to incompetent team mates. It was a fun time even though I lost. Something to do to kill the time.,NA,1,NA,5d8ae8dd3749f50015c80ad9,4,5,5,5,4,4,5,4,4,4,3,2,4,3,3,5,5,3,4,5,5,6,6,6,2,6,4,4,3,4,4,2,2,4,4,4,5,2,3,5,2,1,2,4,2,2,3,4,4,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,2,3,4,4,4,5,2,3,5,3,3,2,3,3,3,2,2,4,4,2,2,3,3,4,3,3,3,FALSE,4,6
12/19/22 14:37,20,Man,NA,Poland,557,NA,it was yesterday.i was playing cs go and i was very angry and mad cause my team was very bad. we lost ten rounds in the row.,1,NA,5f54e8b489382806cd01c2cb,3,3,3,3,5,5,5,2,2,3,5,5,5,5,6,3,4,6,6,4,5,3,4,5,4,5,6,5,5,2,5,5,4,5,2,4,5,4,3,4,4,1,5,4,3,1,5,4,7,3,3,5,6,5,3,3,7,6,3,3,7,4,4,5,4,3,5,2,6,5,4,1,2,2,4,3,6,1,4,4,1,3,5,2,5,2,3,2,6,3,5,2,FALSE,5,3
12/19/22 14:37,22,Man,NA,Portugal,560,Counter-Strike: Global Offensive; Normal gameplay playing competitive matches; felt good specially because I hadn't played in a while,NA,1,NA,60465c0f857ebd000a4c95b6,3,2,1,2,5,4,1,2,3,1,4,2,2,2,4,4,6,6,6,5,6,6,7,6,6,4,6,6,5,5,6,2,4,2,1,1,6,6,2,2,2,1,1,1,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,4,2,2,1,2,5,4,5,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,5,4,5,6,6,5,FALSE,2,6
12/19/22 14:37,24,Man,NA,Czech Republic,731,NA,"I was playing dead by daylight and the person playing a killer was camping survivors and just played in a way that really made it impossible for me and the others to enjoy. I was feeling frustrated, annoyed and angry. That person was just wasting all of our time.",1,NA,61193284d639607d8a015a08,5,6,5,5,5,6,7,5,5,6,2,6,6,1,5,5,1,1,1,3,2,3,3,3,4,1,1,2,2,1,1,2,6,3,1,6,7,7,6,2,6,1,2,5,7,5,5,2,1,2,2,1,1,2,1,2,2,1,2,2,1,1,6,1,5,5,2,5,7,2,7,6,5,6,4,5,6,2,2,1,5,1,2,1,1,1,1,1,1,2,3,1,FALSE,5,2
12/19/22 14:37,31,Man,NA,Mexico,657,NA,"Cyberpunk 2077, the game have much bugs, in the missions the other character go away and I need to restart all the mission, the cars no collider in the floor, character reander not charge good and the game crash.",1,NA,60c101e4634ffb1aa797b924,5,5,2,6,5,5,2,3,5,5,6,5,3,5,6,2,7,6,6,5,7,6,5,6,3,5,6,2,3,5,5,6,5,1,2,5,3,5,7,5,5,1,5,5,2,5,2,5,6,7,3,5,5,6,6,5,6,7,5,5,4,5,2,5,1,1,6,3,2,2,1,6,3,2,5,5,5,6,2,6,2,5,2,1,5,3,5,6,1,5,5,6,FALSE,5,6
12/19/22 14:37,34,Man,NA,Chile,667,NA,"It was a hack/slash game, but to the basics, there was no challenge, almost no combinations that make sence, so in the gameplay it didnt even mather what buttons i pushed, everything was the same.
It was too repetitive and boring.",1,NA,5eb035358c62bb09069a842f,7,1,6,1,1,1,7,7,1,1,1,1,6,1,1,7,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,7,1,1,1,1,2,1,1,1,1,1,1,4,1,1,3,1,3,1,2,7,7,1,7,7,7,7,7,1,6,1,7,2,4,1,4,2,4,4,1,1,3,6,1,1,2,1,3,1,1,1,3,1,2,1,1,1,1,1,FALSE,1,1
12/19/22 14:37,25,Woman,NA,Portugal,660,The most recent time I have played a game it was fifa 23 I felt good wihle playing since I could get some wins in ultimate team.,NA,1,NA,6124d49e3031bec395675af2,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,2,6,5,6,6,6,6,6,6,5,2,6,4,3,5,5,2,1,1,1,1,4,1,1,2,1,1,1,1,3,2,3,5,5,5,5,5,5,6,6,6,5,6,6,6,6,6,2,2,1,1,1,4,1,1,1,1,1,2,1,1,1,4,6,4,4,3,3,4,4,1,4,5,5,4,4,4,FALSE,3,6
12/19/22 14:38,27,Man,NA,Portugal,655,NA,"I was playing Gran Turismo 7 online. I don't usually play multiplayer on my PS4, so I am just starting out and being matched with lower level players who can't make a corner without hitting me and, probably on purpose, ram into me when attacking or defending a position. It was ruining my races and was very frustrating, to the point I just stopped playing it and played something else.",1,NA,5d66f23706e589000157e7ec,3,5,2,6,3,4,5,4,4,3,3,4,4,5,3,4,5,5,4,5,5,5,5,5,5,4,5,4,3,4,5,5,4,5,3,5,6,3,5,5,4,2,3,4,4,4,4,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,4,5,4,4,4,4,6,5,6,3,3,4,3,4,4,5,3,3,3,3,4,3,3,3,3,4,3,3,3,3,FALSE,5,5
12/19/22 14:38,22,Man,NA,Portugal,481,NA,"The games was Control and I played the first time and I dont touch it anymore, the game was confuse and I didn't enjoyed that much playing it.",1,NA,611bbf442fae05702503ef30,5,5,6,6,1,5,6,5,1,1,4,1,1,5,5,5,2,3,5,1,2,2,4,4,5,5,2,4,5,6,5,5,6,1,4,5,1,4,5,4,1,5,3,4,5,5,5,6,5,5,5,4,5,6,5,5,5,6,6,1,1,5,1,1,6,1,2,5,1,2,2,4,1,1,1,6,5,6,1,5,3,5,1,4,5,5,6,1,4,1,1,5,FALSE,4,5
12/19/22 14:38,24,Man,NA,Greece,564,"The game is called Valheim, at its core is a survival game. 
I enjoy exploring, crafting and planning my next adventures within the game, i mostly enjoy the part of building a base/home. Its a relaxing experience for me and i get to use my imagination and creativity.",NA,1,NA,5ea94d490640c902e885bc77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,5,6,6,6,6,5,4,6,4,4,4,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,6,6,5,6,6,6,6,5,6,5,5,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,4,4,4,4,4,4,3,4,4,5,4,FALSE,1,6
12/19/22 14:38,22,Woman,NA,Chile,649,"it was defiying since i normally play simulation games or games that do not recuired that much of efford or tactic but i really liked playing it, it was new and also had a great plot,
.",NA,3,i don't know simce i'm not that good of a player,60ff488f1b3c9851177efd97,4,5,4,5,5,4,5,4,6,4,5,5,3,5,4,4,5,6,5,5,5,5,5,6,5,4,5,4,4,4,5,5,5,5,5,5,4,5,4,5,5,3,5,5,5,3,5,5,7,5,5,5,6,4,4,5,4,5,5,5,5,4,4,3,1,4,4,3,4,4,5,3,4,4,2,3,4,5,4,6,5,5,5,5,4,4,5,4,7,5,4,4,FALSE,5,4
12/19/22 14:38,23,Man,NA,Portugal,405,"Monster Hunter World, there was a very big monster that was needed to hunt, it's name was Raging Brachydios, and I've been trying to beat him for a while now, it was very satisfying when I finally got to do it",NA,1,NA,60fdba4a793a0371e9ce3708,1,1,1,2,2,2,2,3,3,2,2,2,1,2,2,2,6,6,6,5,6,6,5,7,7,4,6,6,6,2,6,3,5,2,5,6,5,3,5,5,3,1,5,5,5,2,2,6,6,5,5,6,6,6,3,6,3,5,6,6,6,6,1,1,2,2,1,1,1,1,1,5,1,2,2,2,2,6,4,5,6,2,6,4,4,1,2,5,5,1,2,5,FALSE,6,5
12/19/22 14:38,41,Woman,NA,Denmark,547,The game I am currently playing is a tile management game. It requires you to raise armies and take over tiles. I am extremely bored by waiting to raise resources.,NA,1,NA,5c5f2a7a5b87820001c4fa2d,6,7,7,7,6,6,7,7,7,6,5,1,1,1,6,7,2,2,1,1,3,2,1,1,2,1,2,1,2,1,1,1,1,1,5,1,1,1,1,5,6,1,1,5,7,7,3,1,2,1,1,1,1,1,2,1,5,2,1,5,5,1,2,6,7,1,2,7,7,2,7,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,2,1
12/19/22 14:38,22,Man,NA,Poland,691,The last time i played game that i enjoyed was yesterday. I was playing counter strike global offensive with my friends. We won every game and had a lot of fun. I was really happy because i was doing good and i spend time with friends,NA,1,NA,5efa0ab395da4b7ee7afe803,3,5,2,5,5,2,4,2,6,5,5,3,2,3,4,1,7,6,5,2,5,6,5,6,3,2,6,3,6,5,6,2,6,2,2,2,5,3,2,2,3,1,1,3,3,2,3,6,7,6,5,7,6,5,5,6,6,6,6,7,6,3,3,2,2,2,2,5,2,5,4,1,1,1,2,1,1,3,6,6,4,6,2,5,6,6,6,6,6,6,5,6,FALSE,6,6
12/19/22 14:38,37,Man,NA,Mexico,740,"It was FIFA 22, I played aganist my friend, sometimes I won, but he was a better player than me. I felt excited and had so much fun. When I won I felt happy and a little dissapointed when I lost.",NA,1,NA,61230876ad65890ff8619511,1,1,1,3,1,3,2,3,2,1,4,1,1,1,1,2,7,4,5,1,4,7,2,5,5,4,6,5,4,6,5,2,3,1,1,2,2,1,2,3,3,1,4,1,1,2,2,4,6,5,5,6,5,5,5,5,5,4,6,6,6,5,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,5,5,4,2,6,4,4,7,6,6,5,5,6,6,6,FALSE,2,5
12/19/22 14:39,19,Non-binary,NA,Poland,797,"The most recent game I've played was the beta for Street Fighter 6. Fighting game, played with friends. It was my first time playing this particular title and I enjoyed it very much. I quickly got a hold of it. The game is fun and allows for competition between friends. I liked looking at the characters and animations.",NA,1,NA,605f143dca6594d109a9ab40,1,3,5,7,1,1,1,4,1,1,2,1,1,1,1,4,7,4,5,7,7,7,7,5,1,4,6,5,7,4,4,3,1,3,1,5,1,1,5,2,4,2,5,2,3,4,1,6,6,3,6,6,6,6,6,6,5,7,6,6,6,6,4,4,3,1,2,1,5,1,6,1,1,2,1,1,1,4,7,2,7,6,2,4,6,6,5,5,5,7,7,7,FALSE,6,7
12/19/22 14:39,22,Woman,NA,Portugal,839,NA,"Rocket League. 
I just didn't like this game very much, it's not the style of game that I usually play and like. I like car games and I like playing fifa, so I thought that the combination of these two styles would be something that I would like but I was wrong",1,NA,5fed1a5c0538dba9454dc713,2,3,6,5,5,6,5,1,5,2,6,1,3,5,3,4,6,5,2,3,6,6,2,2,4,1,3,3,5,3,4,6,5,5,3,5,3,5,6,7,4,2,5,5,5,7,4,3,3,3,3,2,5,3,1,3,2,2,3,4,3,3,4,4,4,4,1,2,5,4,1,2,2,4,3,5,2,4,4,4,6,4,4,4,4,4,4,2,4,5,5,4,FALSE,6,2
12/19/22 14:39,41,Man,NA,Hungary,656,NA,"It was frustrating to get through a place in the game. And I was stucked, was not able to get further in the game. That was very annoying.",1,NA,615444f0b14488e2b0eb13fa,1,3,2,6,2,6,5,2,2,2,5,4,2,2,6,2,6,6,4,2,5,6,6,6,6,4,6,5,4,3,5,5,3,1,2,5,4,2,6,5,3,1,3,6,2,4,4,6,6,6,6,6,5,5,2,6,5,5,6,6,6,6,6,6,4,1,1,2,1,2,6,2,2,2,1,6,2,6,6,6,6,5,6,6,4,6,4,4,6,3,4,5,FALSE,6,6
12/19/22 14:39,24,Man,NA,Poland,571,NA,"So the last time, when I was playing PUBG, that was my first game ever, therefore after the training I could play with a players. In a game I was totally destroyed therefore I was so annoyed about it, especially it wasn't my fauly whatsoever. Overall I now that I played bad but ther feeling after the game was unforgeable, the feeling that I want to play any more this game.",1,NA,5efa4a03f317f187634fb535,5,4,3,5,5,4,7,7,7,1,7,5,7,2,3,5,5,5,7,6,3,6,2,4,6,4,2,5,2,4,3,3,5,5,7,4,5,5,3,7,7,7,7,6,7,4,6,1,4,1,3,2,2,1,7,1,1,3,4,1,3,3,6,7,6,4,5,7,7,6,6,7,5,7,6,6,5,3,6,2,2,2,5,3,4,2,3,4,2,4,3,4,FALSE,4,3
12/19/22 14:39,18,Man,NA,Poland,413,"I played a game of league of legends with my friends yesterday. I had a lot of fun while playing it because we were winning while also having fun, because we weren't getting angry at each other or too focused on the game.",NA,1,NA,5f045f7fe9d8626b455411d3,5,2,6,3,3,2,3,3,5,6,2,3,2,3,2,4,5,5,3,5,5,6,5,6,5,3,6,4,3,5,5,2,5,4,2,2,6,5,3,3,3,4,2,2,2,2,2,5,5,6,5,6,5,6,6,6,5,4,6,6,5,6,5,3,4,2,4,2,5,2,5,2,2,3,2,2,2,4,6,2,5,5,5,5,5,3,4,4,2,5,5,5,FALSE,3,5
12/19/22 14:39,22,Man,NA,Poland,436,NA,"I was playing LOL, i was tired and i got toxic teammates that were flaming for no reason. Also i was perfomimg poorly, so i got frustrated",1,NA,5ec5ad9a3d68ea60195fb04c,3,6,5,5,5,5,3,3,3,5,5,3,3,3,3,4,5,3,4,5,5,5,4,5,5,4,4,3,4,4,3,5,5,5,3,2,7,3,5,5,5,3,3,4,4,5,3,3,5,5,4,4,5,5,3,5,5,3,5,4,5,5,5,5,3,3,5,4,7,5,6,3,3,3,4,3,3,5,6,4,3,6,5,5,6,5,3,5,5,5,5,5,FALSE,3,5
12/19/22 14:40,31,Man,NA,Poland,660,NA,The game I didn't enjoy was Scorn. It had good graphics but the gameplay was shallow. The plot was very cryptic and I didn't understand anything from it. It felt rushed and unfinished.,1,NA,5cf92c7255e1370001e54adb,6,7,6,6,5,5,6,5,2,6,3,1,5,5,5,5,2,3,2,5,3,5,3,3,3,1,2,2,1,2,2,1,3,3,3,5,1,5,5,3,2,5,1,7,5,5,5,3,5,2,2,2,5,2,2,5,5,5,2,3,2,2,1,2,6,1,6,6,1,1,4,7,1,4,2,3,1,5,1,1,2,2,1,1,1,2,1,2,1,1,1,2,FALSE,4,3
12/19/22 14:40,23,Woman,NA,Poland,553,NA,"The game was called Risen. I found the quests boring and the plot didn't interest me as well. The characters weren't interesting. I did a couple of quests about killing monsters and getting to know the character, but I esentially disliked it.",1,NA,6106c279c9009ccebe7284c4,6,5,5,5,5,5,5,5,5,5,6,5,3,5,5,6,3,3,2,4,3,2,2,5,5,2,3,5,1,2,1,5,5,5,3,2,5,2,5,5,5,5,3,6,3,5,5,1,5,3,5,3,2,3,2,2,3,2,5,5,5,4,4,4,5,1,6,6,5,4,4,4,4,5,4,4,2,1,2,2,2,3,2,2,1,1,2,1,3,2,4,3,FALSE,5,3
12/19/22 14:40,20,Woman,NA,Spain,634,NA,It was Samurai Maiden. It's a game about a high schooler that gets transported to the Sengoku period in Japan. Her mission is to stop the Demon King from reviving. I felt incredibly bored.,3,"I don't think they are that important, because the game I gave is very niche",6070318a4785a289f300e985,5,5,1,5,5,3,7,5,5,5,6,1,1,1,3,5,1,2,4,1,1,2,2,3,1,1,3,1,3,1,1,1,1,1,3,1,5,1,1,3,3,1,1,1,3,5,1,3,5,3,1,1,3,3,1,1,4,4,1,1,3,3,1,1,2,1,3,5,1,1,1,4,1,1,1,1,1,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,3,2
12/19/22 14:40,23,Man,NA,Slovenia,598,"I played a game called Teamfight tactics just a few minutes ago. The game went well for me from start to finish, dominating everyone like a real sigma male. I was feeling dominant, peaceful and i felt joy. I ended up at 2nd place because of some bug that opponent had in the final round.",NA,2,NA,601449dda0361e414cccbbdc,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,FALSE,4,4
12/19/22 14:40,23,Man,NA,Portugal,551,NA,"A game I didn't enjoy was: ""Football Manager 2022"". The game had many different menus, and really complex, although I understand it is to make it more realistic and give many options to It's players. Regardless, I felt it was not really intuitive and would be time consuming so I gave up playing.",1,NA,60acc469b4845c7d7727a670,2,2,5,4,2,6,1,2,3,2,6,2,2,4,4,6,6,6,2,6,6,6,5,6,2,5,2,2,2,2,2,2,2,2,2,5,5,2,5,2,3,3,6,2,3,1,7,4,2,2,5,5,2,4,3,3,2,2,5,2,2,4,4,4,4,4,4,6,1,1,4,6,4,6,3,4,2,2,2,2,4,4,2,4,4,4,2,1,1,2,1,4,FALSE,5,6
12/19/22 14:40,22,Woman,NA,Portugal,846,The game was Genshin Impact. I was playing with my boyfriend doing bosses and farm materials. I felt good and happy while playing.,NA,1,NA,616a1875b47d519ccfc44f12,4,3,2,4,4,4,4,3,3,5,2,3,5,3,4,4,5,4,4,5,5,4,3,4,5,4,4,2,3,4,5,4,4,2,4,4,4,6,2,5,4,1,6,1,2,5,4,2,4,3,4,5,4,4,6,4,3,5,3,5,4,4,4,5,3,4,4,4,4,3,4,4,4,5,3,3,4,5,2,4,4,4,4,3,5,6,4,4,3,4,4,2,FALSE,3,4
12/19/22 14:40,54,Man,NA,Poland,543,NA,"The game I didn't like was Valorant. It seemed too chaotic to me, I expected something different.
",1,NA,60ddc6cf3e04111115200984,4,3,4,4,2,4,4,2,2,2,3,3,2,2,3,3,3,4,2,2,3,2,2,5,2,3,3,2,3,2,3,3,3,3,4,4,3,2,3,2,4,3,4,2,3,3,3,3,5,3,3,3,3,3,3,3,3,3,5,5,4,3,4,6,3,2,3,4,2,2,4,2,2,2,2,4,2,3,2,3,2,2,2,3,2,3,2,3,2,2,3,2,FALSE,4,4
12/19/22 14:40,19,Woman,NA,Poland,726,NA,"League of Legends
I have lost a bet with a friend and because of it he forced me to play with him few matches in lol. I was very frustrated during those matches, because i just cant play this game. Skill gap was to big and in my opinion once you start loosing and enemy is better, theb you have no chances in winning. Its so different than what i like to play (shooters) that i struggled in playing really hard and it was just frustrating experience overall.",1,NA,6113c498b3a80279e6edbdcb,6,7,6,6,6,6,7,7,7,7,6,5,2,6,7,5,4,1,2,3,5,6,5,6,5,4,2,4,1,1,2,7,7,7,7,7,7,7,7,7,6,7,7,6,7,6,6,1,1,2,2,1,1,2,1,1,1,1,2,1,1,4,6,7,7,6,7,2,6,5,3,7,7,3,7,6,7,2,2,1,5,1,3,1,1,1,2,1,1,2,2,1,FALSE,7,2
12/19/22 14:40,23,Woman,NA,Mexico,686,NA,"I was playing fortnite which I enjoy playing every time, but this specific week the game was pretty bugged and slow. I couldn’t even move or shoot, so I was killed instantly.",1,NA,613963634f7f0c52aec905b1,1,1,1,6,2,7,2,1,5,1,1,1,6,5,2,2,1,3,2,1,1,1,2,1,1,2,2,2,2,5,2,3,6,6,7,7,6,7,6,7,7,1,4,1,5,6,6,2,2,1,4,2,2,3,4,1,4,1,2,2,3,4,7,3,6,2,2,1,1,2,1,6,6,5,5,1,3,3,2,3,2,5,2,3,5,6,5,4,2,3,2,5,FALSE,6,1
