StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,gender,gender_5_TEXT,country,recall-pos-text,recall-neg-text,bang-1_1,bang-1_2,bang-1_3,bang-1_4,bang-1_5,bang-1_6,bang-1_7,bang-1_8,bang-1_9,bang-1_10,bang-1_11,bang-1_12,bang-1_13,bang-1_14,bang-1_15,bang-1_16,bang-1_17,bang-1_18,bang-1_19,bang-1_20,bang-1_21,bang-1_22,bang-1_23,bang-2 _1,bang-2 _2,bang-2 _3,bang-2 _4,bang-2 _5,bang-2 _6,bang-2 _7,bang-2 _8,bang-2 _9,bang-2 _10,bang-2 _11,bang-2 _12,bang-2 _13,bang-2 _14,bang-2 _15,bang-2 _16,bang-2 _17,bang-2 _18,bang-2 _19,bang-2 _20,bang-2 _21,bang-2 _22,bang-2 _23,bang-3_1,bang-3_2,bang-3_3,bang-3_4,bang-3_5,bang-3_6,bang-3_7,bang-3_8,bang-3_9,bang-3_10,bang-3_11,bang-3_12,bang-3_13,bang-3_14,bang-3_15,bang-3_16,bang-3_17,bang-3_18,bang-3_19,bang-3_20,bang-3_21,bang-3_22,bang-3_23,bang-4_1,bang-4_2,bang-4_3,bang-4_4,bang-4_5,bang-4_6,bang-4_7,bang-4_8,bang-4_9,bang-4_10,bang-4_11,bang-4_12,bang-4_13,bang-4_14,bang-4_15,bang-4_16,bang-4_17,bang-4_18,bang-4_19,bang-4_20,bang-4_21,bang-4_22,bang-4_23,bang-4_24,bang-4_25,trust,trust_3_TEXT,PROLIFIC_PID,Create New Field or Choose From Dropdown...
2022-12-19 14:26:13,2022-12-19 14:31:27,0,100,314,1,2022-12-19 14:31:27,R_2ErRovZnigrIi9D,anonymous,EN,"1,2,3,4,5,6,7",41,1,,137,Recently I played in New world. It was quite fun. something new for me,,3,4,2,4,3,5,3,4,3,3,4,3,3,3,3,3,5,5,4,4,3,4,3,5,3,3,3,4,4,4,3,3,4,6,4,5,4,3,5,4,3,5,2,5,2,4,4,5,4,3,3,4,2,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,3,6,2,5,4,5,5,5,5,4,5,5,4,5,3,2,5,2,4,3,6,5,5,5,4,3,1,,5f12d07e399eaf265643e907,
2022-12-19 14:26:55,2022-12-19 14:32:24,0,100,329,1,2022-12-19 14:32:25,R_1KdpWfzHttRWAJO,anonymous,EN,"1,2,3,4,5,6,7",21,1,,138,"Pc Building Simulator
This game represents everything I wanna do in the future and it really helps me understand everything about computers, how to build them, how they work and its what I'm studying in college right now. It really makes me feel good about myself ",,1,6,1,1,1,6,2,7,6,1,1,1,6,7,6,5,7,6,7,5,6,7,6,6,4,2,2,4,5,6,1,1,3,7,6,6,4,4,3,6,5,5,3,3,3,5,1,6,5,4,4,6,6,3,3,2,6,6,6,3,3,3,5,6,5,4,1,2,6,6,5,2,6,2,3,6,6,5,4,4,2,5,6,6,4,4,4,2,6,7,5,5,4,6,1,,609a7d5287ca8fb83e0780d4,
2022-12-19 14:29:33,2022-12-19 14:34:11,0,100,278,1,2022-12-19 14:34:12,R_9pKaNB6sL22x33z,anonymous,EN,"1,2,3,4,5,6,7",25,1,,163,,"valorant, because i dont like to play soloq. I would play with friends",6,4,5,5,4,5,6,5,6,4,5,5,6,5,4,6,5,4,6,5,6,4,5,4,5,6,4,4,5,5,6,4,5,4,5,6,4,5,2,4,5,6,5,6,4,5,5,4,5,6,4,5,3,5,5,4,5,4,6,5,5,5,4,3,6,4,5,4,3,6,4,5,6,5,6,5,6,5,4,5,5,5,6,6,4,5,6,5,6,5,5,6,5,5,1,,5f9a0f1dba641d12282c8e41,
2022-12-19 14:30:57,2022-12-19 14:34:31,0,100,214,1,2022-12-19 14:34:32,R_2Tw55DdByZWfRaJ,anonymous,EN,"1,2,3,4,5,6,7",22,1,,138,"It was team fight tactics, i got first place, and i felt like i was learning",,5,4,3,5,4,5,5,3,3,5,3,2,5,2,2,3,3,3,5,4,3,5,5,6,2,1,3,3,3,2,2,6,2,5,5,5,5,5,3,3,6,2,5,3,4,3,3,4,3,5,5,3,3,5,4,3,5,6,3,3,4,3,4,5,3,4,4,5,5,3,3,4,5,6,4,5,5,4,5,6,5,5,5,3,4,4,4,5,4,5,4,5,4,5,3,I had some doubts in some answers,60143c0f36253d3c41e397d8,
2022-12-19 14:25:28,2022-12-19 14:34:40,0,100,551,1,2022-12-19 14:34:40,R_2QSs2wvPpNbwdR7,anonymous,EN,"1,2,3,4,5,6,7",21,1,,138,"Genshin Impact. I've been feeling so happy playing it. It is so non competitive. ",,5,6,3,3,1,5,1,6,2,2,2,1,7,5,2,7,6,7,6,6,7,6,7,6,1,1,1,1,7,6,1,6,6,5,1,6,6,5,2,1,7,1,1,6,1,1,6,7,2,2,6,1,1,1,2,6,1,6,6,6,1,1,1,7,1,1,6,3,1,6,2,6,1,1,7,6,5,6,2,6,2,6,2,1,1,1,6,5,1,6,6,6,2,6,1,,6117bea9da04c4ebc1c86a94,
2022-12-19 14:28:50,2022-12-19 14:34:45,0,100,355,1,2022-12-19 14:34:46,R_R83keAHoJL8v0zv,anonymous,EN,"1,2,3,4,5,6,7",24,1,,84,I played Mortal Kombat on ps5. In the game i won against all of my friends. It's a fighting game. I felt satisfied and amused,,1,6,2,5,3,5,5,4,6,6,6,4,5,4,5,6,6,2,6,3,6,5,5,6,5,6,7,6,6,4,6,6,5,7,6,4,5,6,6,4,3,5,6,6,7,4,5,5,6,6,7,2,2,6,6,7,6,4,6,6,3,6,7,6,3,5,6,6,5,6,2,5,6,6,3,6,2,4,6,6,7,6,4,3,3,5,7,7,6,4,5,7,6,3,1,,606a2bc0f984e976d7bf083f,
2022-12-19 14:28:38,2022-12-19 14:34:45,0,100,367,1,2022-12-19 14:34:46,R_1lyLKFS2gYPXx05,anonymous,EN,"1,2,3,4,5,6,7",22,1,,137,Wasteland 3,,2,6,1,1,1,1,2,7,2,1,1,1,7,6,2,6,6,6,2,4,6,6,7,6,1,1,2,2,6,3,4,5,4,3,4,3,6,4,2,2,6,4,2,4,4,2,5,5,1,4,3,2,1,1,2,6,2,2,5,6,2,2,2,5,2,4,2,1,4,7,1,6,4,4,3,7,6,6,6,5,2,3,4,2,2,4,5,6,1,7,6,6,2,6,1,,5e6796a0ae143c03b3033195,
2022-12-19 14:28:22,2022-12-19 14:35:12,0,100,409,1,2022-12-19 14:35:13,R_24GCKnXsS70sbE7,anonymous,EN,"1,2,3,4,5,6,7",24,1,,185,"Played subnautica, very enjoyable",,5,6,2,1,1,1,1,7,1,1,4,1,6,6,1,6,6,2,5,2,7,7,7,4,1,4,3,1,6,1,1,1,1,3,2,2,6,1,1,1,7,1,1,1,1,1,1,5,1,1,1,1,2,1,2,6,2,3,5,6,2,2,1,7,1,2,1,2,4,6,2,5,4,2,3,6,7,1,5,2,2,1,1,1,1,1,4,7,1,5,6,6,5,6,1,,6101e16e46ab830d098f1436,
2022-12-19 14:25:52,2022-12-19 14:35:38,0,100,586,1,2022-12-19 14:35:39,R_1lcaXh4BZ6jY10B,anonymous,EN,"1,2,3,4,5,6,7",20,2,,45,I played minecraft mini games with my frineds. I felt relaxed and unbothred,,4,5,7,2,1,5,2,6,1,1,1,1,2,3,2,5,6,6,6,6,5,5,5,6,1,2,1,1,6,4,1,5,4,6,6,7,7,6,5,5,4,6,2,6,3,1,2,1,1,1,6,1,1,2,2,3,1,1,6,4,1,1,1,6,2,2,6,1,1,5,2,5,1,2,6,4,1,6,6,7,6,4,5,1,1,1,5,2,3,4,5,6,2,5,1,,60ab822a93ee05a2377736e2,
2022-12-19 14:25:00,2022-12-19 14:35:46,0,100,645,1,2022-12-19 14:35:46,R_1riXN8ul3VJULRX,anonymous,EN,"1,2,3,4,5,6,7",22,1,,138,,"I didn't like genshin impact
It has a good gameplay but it didn't convince me
When starting the game there are certain parts that one does not understand what to do in the game and the player is confused",2,4,3,3,5,4,4,5,5,1,3,4,4,5,4,6,2,4,5,5,4,5,5,5,5,2,3,4,4,3,4,4,3,4,5,4,4,5,4,4,4,4,5,5,4,5,5,5,4,5,4,7,7,5,4,5,5,5,6,4,5,3,5,4,4,4,4,5,3,6,4,5,2,6,3,4,1,4,4,6,6,5,5,4,7,4,5,4,5,5,4,5,6,5,1,,5d9e93d972e534001605f2dd,
2022-12-19 14:27:07,2022-12-19 14:36:08,0,100,540,1,2022-12-19 14:36:08,R_2rBXjq4UJBTCPim,anonymous,EN,"1,2,3,4,5,6,7",26,1,,161,Gta 5 is an amazing game. I recently played this game a few hours ago and usually play it on a daily basis. The online side of the game is based on reality and making money in the game surely makes one feel like an upcoming businessman. I feel like a king pin when play GTA 5.,,1,6,1,1,1,4,2,7,1,1,2,5,5,7,1,1,6,1,6,1,6,7,7,5,1,1,2,5,5,5,2,5,6,7,1,5,7,7,1,1,7,5,1,3,1,2,5,6,4,5,6,7,4,5,1,7,1,7,7,7,5,4,1,7,1,1,5,1,7,7,2,7,1,1,7,7,7,6,4,4,2,1,1,1,1,7,6,7,2,7,7,7,4,7,1,,60e758107f8031dce149e796,
2022-12-19 14:30:18,2022-12-19 14:36:12,0,100,354,1,2022-12-19 14:36:13,R_1JILFgIHO3qwrcv,anonymous,EN,"1,2,3,4,5,6,7",20,1,,137,"So the game i enjoyed the most right now is Fornite. I know that this is kinda common but i never played this game before, and now im playing almost everyday with my girlfriend. I like everything in this game and i love buying cute skins for me and my girlfriend. I feel great while playing, we have a lot, i mean a lot of fun!",,7,4,1,5,1,1,1,7,1,1,1,7,5,1,1,1,7,1,7,4,7,7,7,1,1,1,1,1,7,1,1,1,1,1,1,1,7,1,2,1,7,1,3,1,1,1,1,7,1,6,4,7,1,1,1,6,1,1,7,3,1,1,2,6,1,1,1,1,1,6,1,7,1,7,4,4,7,7,6,6,1,1,1,2,1,7,3,1,3,7,7,7,4,7,1,,5ea9d5a43d8c331224cf4b61,
2022-12-19 14:27:25,2022-12-19 14:36:15,0,100,529,1,2022-12-19 14:36:15,R_sngq5J9ECCcD1pD,anonymous,EN,"1,2,3,4,5,6,7",35,1,,111,minecraft me gusta construir  me parece relagante,,4,6,3,3,2,6,3,6,2,2,3,2,6,7,4,6,6,6,6,3,6,7,7,7,1,1,4,2,6,6,6,6,5,6,3,6,7,5,3,4,5,2,3,5,4,3,4,5,4,3,6,4,4,3,3,6,6,6,7,6,3,4,3,6,2,2,6,3,6,6,3,7,3,4,6,6,6,5,6,6,3,3,2,1,3,3,5,6,4,6,6,6,4,6,1,,5b477fdb56e0140001ac7720,
2022-12-19 14:28:48,2022-12-19 14:36:37,0,100,469,1,2022-12-19 14:36:37,R_23fb13OJbgazdPj,anonymous,EN,"1,2,3,4,5,6,7",27,1,,111,"I was playing Vampire Survivors, after trying again and again to upgrade all six weapons for an achievement, I finally did during a run of the game, I feel pretty happy and satisfied since now I can move on to complete every level with my favorite characters.",,3,7,1,1,1,4,2,7,1,3,5,1,4,5,2,7,6,4,7,4,7,7,7,4,1,2,1,3,5,4,1,4,4,2,2,7,6,4,2,2,6,2,1,4,2,1,1,7,2,1,4,3,4,1,3,6,2,7,6,6,3,2,2,6,1,2,1,2,6,7,3,6,4,5,4,7,7,4,5,1,2,1,1,1,1,1,6,6,2,7,7,5,3,7,1,,5ab308940527ba0001c15a9f,
2022-12-19 14:27:43,2022-12-19 14:37:03,0,100,560,1,2022-12-19 14:37:04,R_3pclVUaneFdKJUe,anonymous,EN,"1,2,3,4,5,6,7",33,1,,31,I most recently played StarCraft 2. I was playing a custom dense style game. It was a team game that defends against waves of enemies. I had lost tho due to incompetent team mates. It was a fun time even though I lost. Something to do to kill the time.,,3,6,2,2,2,2,2,4,3,2,5,4,4,4,4,5,5,2,5,4,5,5,6,2,1,5,4,3,5,3,3,3,3,4,2,3,4,3,2,4,2,4,4,2,4,4,4,4,2,4,3,5,3,5,5,4,4,6,5,4,4,5,3,4,2,4,3,5,4,5,4,3,2,5,4,4,6,4,3,3,2,3,3,3,4,5,5,4,4,4,4,5,4,6,1,,5d8ae8dd3749f50015c80ad9,
2022-12-19 14:31:22,2022-12-19 14:37:04,0,100,342,1,2022-12-19 14:37:04,R_3egz0jSfUwH8xyb,anonymous,EN,"1,2,3,4,5,6,7",25,2,,163,,"I was playing League of Legends, and my team wasn't winning so they were cussing each other out and blaming me for losing the game. I felt bad but just kept playing, eventually we lost the game.",2,5,7,6,2,2,3,3,4,6,5,2,3,5,7,6,5,4,2,5,5,4,4,5,2,3,5,4,4,2,5,6,6,2,1,4,5,5,2,1,4,2,4,6,5,2,2,6,7,5,4,2,2,5,7,6,5,4,1,3,3,5,6,7,4,3,4,5,3,3,7,6,4,2,1,2,3,5,4,2,2,5,4,3,6,5,4,3,2,2,4,6,5,4,1,,5f731eeb424c7804f2ff2936,
2022-12-19 14:27:53,2022-12-19 14:37:10,0,100,557,1,2022-12-19 14:37:10,R_4GVwndvuWVvyV5D,anonymous,EN,"1,2,3,4,5,6,7",20,1,,137,,it was yesterday.i was playing cs go and i was very angry and mad cause my team was very bad. we lost ten rounds in the row.,3,4,4,5,6,5,5,7,2,5,2,6,5,3,5,4,3,1,5,2,5,4,3,2,1,3,4,5,3,1,3,2,3,2,4,2,3,3,4,5,4,5,2,3,3,4,5,5,3,5,4,5,5,3,4,4,2,5,5,4,4,3,5,3,3,5,5,3,5,6,4,6,1,5,6,7,5,2,5,4,1,6,4,5,3,4,3,6,2,6,6,7,5,3,1,,5f54e8b489382806cd01c2cb,
2022-12-19 14:27:55,2022-12-19 14:37:16,0,100,560,1,2022-12-19 14:37:17,R_1hAmXyCdA9ij9Hk,anonymous,EN,"1,2,3,4,5,6,7",22,1,,138,"Counter-Strike: Global Offensive; Normal gameplay playing competitive matches; felt good specially because I hadn't played in a while ",,2,7,6,2,1,6,2,6,1,1,1,5,6,6,2,5,6,6,6,2,6,6,6,6,1,1,1,4,6,6,1,5,5,5,4,4,6,6,2,4,6,4,1,6,1,2,6,5,2,4,6,6,4,2,2,5,2,4,6,6,1,2,2,6,2,2,6,4,6,6,2,6,1,1,5,6,6,6,5,6,2,4,1,1,3,5,6,6,3,6,6,6,2,6,1,,60465c0f857ebd000a4c95b6,
2022-12-19 14:25:08,2022-12-19 14:37:20,0,100,731,1,2022-12-19 14:37:20,R_2639hC4vHpl9vba,anonymous,EN,"1,2,3,4,5,6,7",24,1,,45,,"I was playing dead by daylight and the person playing a killer was camping survivors and just played in a way that really made it impossible for me and the others to enjoy. I was feeling frustrated, annoyed and angry. That person was just wasting all of our time. ",6,3,7,2,6,1,6,1,5,2,6,7,1,2,6,3,2,5,1,5,2,1,3,1,1,5,5,2,1,2,5,1,1,1,6,1,2,2,6,6,4,1,1,1,6,6,2,5,7,2,2,7,5,6,2,1,5,1,2,2,6,5,1,2,5,3,3,5,2,1,5,1,6,7,1,1,3,1,2,1,5,5,4,2,5,7,2,1,5,1,1,2,5,2,1,,61193284d639607d8a015a08,
2022-12-19 14:26:43,2022-12-19 14:37:40,0,100,657,1,2022-12-19 14:37:41,R_1IK1i2QArFpN8ya,anonymous,EN,"1,2,3,4,5,6,7",31,1,,111,,"Cyberpunk 2077, the game have much bugs, in the missions the other character go away and I need to restart all the mission, the cars no collider in the floor, character reander not charge good and the game crash. ",7,5,5,6,5,5,5,4,3,5,2,2,5,3,3,5,5,2,5,3,7,7,6,3,1,2,5,6,6,6,5,6,5,5,5,6,5,5,5,5,3,5,2,5,5,2,2,5,2,2,2,3,2,5,5,5,3,5,6,5,5,6,5,5,1,1,5,2,2,7,1,6,6,2,1,6,6,1,3,6,5,6,5,6,5,1,7,6,5,5,6,6,5,6,1,,60c101e4634ffb1aa797b924,
2022-12-19 14:26:37,2022-12-19 14:37:44,0,100,667,1,2022-12-19 14:37:45,R_b2EkHMdjHKqyL2V,anonymous,EN,"1,2,3,4,5,6,7",34,1,,35,,"It was a hack/slash game, but to the basics, there was no challenge, almost no combinations that make sence, so in the gameplay it didnt even mather what buttons i pushed, everything was the same.
It was too repetitive and boring.",2,1,1,1,1,3,1,7,1,1,1,4,2,3,6,1,1,3,1,1,1,1,1,1,1,6,1,1,7,1,6,1,2,1,1,1,7,1,1,1,1,1,1,1,1,6,1,1,1,2,2,1,1,1,1,1,7,1,7,1,1,1,1,7,2,7,1,7,1,7,7,1,4,7,1,3,1,1,1,1,4,1,3,4,7,4,1,1,1,2,2,7,1,1,1,,5eb035358c62bb09069a842f,
2022-12-19 14:31:25,2022-12-19 14:37:50,0,100,384,1,2022-12-19 14:37:50,R_1LtiQw7ebYdrfOj,anonymous,EN,"1,2,3,4,5,6,7",25,1,,138,"The game was Call Of Duty Modern Warfare II. I ended up killing 36 people and dying only 15 times. Felt pretty good about myself, fun game.",,6,5,2,2,2,2,1,6,3,2,2,5,4,3,2,5,6,2,5,6,5,6,6,2,1,1,1,1,5,1,1,2,2,5,1,4,6,2,3,2,3,2,1,1,1,1,4,2,1,5,2,4,1,1,2,4,1,5,6,5,2,1,3,6,2,3,2,2,5,6,2,6,1,2,4,7,6,2,4,1,2,1,1,1,1,4,6,6,1,7,7,7,4,6,1,,5ed7a7a467a98224295459ff,
2022-12-19 14:32:09,2022-12-19 14:37:50,0,100,341,1,2022-12-19 14:37:50,R_1FkA3O3wT5UbKD7,anonymous,EN,"1,2,3,4,5,6,7",22,1,,138,,"FIFA 23, every year that is getting passed is worse and worse",6,6,7,6,5,4,5,5,4,4,5,7,6,6,5,5,5,6,5,5,4,4,6,5,3,5,5,5,4,6,4,3,5,5,5,5,5,4,4,5,4,5,5,5,4,3,6,4,5,5,6,6,3,3,6,6,5,6,4,4,6,5,5,6,5,5,6,5,6,5,2,5,2,5,5,6,4,4,5,4,4,5,2,4,4,5,5,4,5,4,5,5,5,4,1,,60c659a960d88d65a18a1d38,
2022-12-19 14:26:52,2022-12-19 14:37:53,0,100,660,1,2022-12-19 14:37:53,R_2OGE1Ol5TmUq0RF,anonymous,EN,"1,2,3,4,5,6,7",25,2,,138,The most recent time I have played a game it was fifa 23 I felt good wihle playing since I could get some wins in ultimate team.,,1,6,1,2,1,4,1,6,1,1,2,1,5,5,1,6,6,4,5,4,6,6,6,1,1,1,1,2,6,4,1,4,4,5,1,5,6,4,1,1,5,2,1,3,1,2,3,5,3,1,6,4,3,1,2,6,1,2,6,5,1,1,1,6,1,1,4,2,4,6,1,5,1,1,5,5,6,4,3,4,2,1,1,1,1,1,5,6,1,5,6,5,3,6,1,,6124d49e3031bec395675af2,
2022-12-19 14:27:19,2022-12-19 14:38:14,0,100,655,1,2022-12-19 14:38:14,R_ZmVMVXZpMAvpgJP,anonymous,EN,"1,2,3,4,5,6,7",27,1,,138,,"I was playing Gran Turismo 7 online. I don't usually play multiplayer on my PS4, so I am just starting out and being matched with lower level players who can't make a corner without hitting me and, probably on purpose, ram into me when attacking or defending a position. It was ruining my races and was very frustrating, to the point I just stopped playing it and played something else.",5,5,3,5,4,3,4,5,3,3,4,6,5,5,4,5,4,3,5,4,5,5,5,3,2,2,4,3,5,5,4,3,3,4,4,4,5,3,4,4,5,5,3,3,3,4,4,3,4,5,3,6,4,5,5,5,4,4,5,5,5,6,5,5,4,5,3,4,4,3,4,5,3,5,3,5,5,3,3,3,4,3,3,4,3,6,5,4,4,5,5,4,5,5,1,,5d66f23706e589000157e7ec,
2022-12-19 14:30:15,2022-12-19 14:38:16,0,100,481,1,2022-12-19 14:38:17,R_24MASD0Ut933zN9,anonymous,EN,"1,2,3,4,5,6,7",22,1,,138,,"The games was Control and I played the first time and I dont touch it anymore, the game was confuse and I didn't enjoyed that much playing it.",5,4,4,5,5,5,1,1,1,3,1,1,5,5,1,1,5,3,4,5,2,2,2,5,5,6,4,4,5,6,6,5,6,6,6,1,1,1,1,5,5,1,4,5,1,1,1,1,5,2,1,1,5,5,4,5,5,5,6,6,5,6,5,6,1,1,1,5,4,6,6,3,4,6,4,5,4,4,5,5,5,5,1,2,5,2,5,5,1,5,2,5,4,5,1,,611bbf442fae05702503ef30,
2022-12-19 14:28:54,2022-12-19 14:38:18,0,100,564,1,2022-12-19 14:38:19,R_1PdUJyDmjkf3af3,anonymous,EN,"1,2,3,4,5,6,7",24,1,,67,"The game is called Valheim, at its core is a survival game. 
I enjoy exploring, crafting and planning my next adventures within the game, i mostly enjoy the part of building a base/home. Its a relaxing experience for me and i get to use my imagination and creativity.",,1,6,1,1,1,4,1,6,1,1,1,1,5,5,1,5,5,5,6,1,6,6,6,4,1,1,1,1,6,5,1,4,4,4,4,3,5,4,1,1,5,1,1,4,1,1,4,1,1,1,4,1,1,1,1,6,1,4,6,6,1,1,1,5,1,1,5,1,4,5,1,5,1,1,4,6,6,4,4,4,2,1,1,1,1,1,6,6,1,6,6,6,1,6,1,,5ea94d490640c902e885bc77,
2022-12-19 14:27:38,2022-12-19 14:38:28,0,100,649,1,2022-12-19 14:38:28,R_2eVh5f5hcisCAHP,anonymous,EN,"1,2,3,4,5,6,7",22,2,,35,"it was defiying since i normally play simulation games or games that do not recuired that much of efford or tactic but i really liked playing it, it was new and also had a great plot,
.",,4,5,5,5,4,4,5,5,4,5,4,4,5,5,3,5,5,5,5,3,5,5,5,4,3,4,5,5,4,5,3,4,5,4,5,4,5,5,5,4,5,3,5,5,4,4,5,5,5,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,4,5,4,4,4,5,1,6,3,5,7,7,6,5,4,6,3,4,2,4,4,5,5,5,6,6,5,4,5,4,3,i don't know simce i'm not that good of a player,60ff488f1b3c9851177efd97,
2022-12-19 14:31:43,2022-12-19 14:38:28,0,100,405,1,2022-12-19 14:38:29,R_2AR8pO7YljCIZUC,anonymous,EN,"1,2,3,4,5,6,7",23,1,,138,"Monster Hunter World, there was a very big monster that was needed to hunt, it's name was Raging Brachydios, and I've been trying to beat him for a while now, it was very satisfying when I finally got to do it",,5,5,3,3,2,4,2,6,1,5,2,1,6,5,1,5,6,6,6,1,6,6,6,1,1,1,5,2,3,6,2,5,2,2,5,5,6,1,3,2,7,1,5,2,2,1,6,2,5,1,4,5,2,1,5,6,3,4,6,6,6,2,2,6,2,2,2,2,6,5,2,6,5,2,5,6,7,4,6,5,2,2,2,1,1,1,5,6,3,6,6,3,6,5,1,,60fdba4a793a0371e9ce3708,
2022-12-19 14:32:23,2022-12-19 14:38:41,0,100,378,1,2022-12-19 14:38:42,R_3FOPiUG18jBrC5b,anonymous,EN,"1,2,3,4,5,6,7",25,1,,138,,"League of Legends, got tillted because I played bad, I was sleepy and shouldn't be playing knowing that was a possibilitie, I feelt really bad ",6,6,6,6,6,6,4,5,5,3,4,5,6,5,6,2,3,3,1,3,5,5,5,1,1,5,5,3,5,5,2,3,4,3,3,2,3,1,7,7,4,3,3,4,4,3,2,2,4,5,3,4,3,5,7,5,5,4,3,3,5,4,5,4,3,6,4,4,5,3,4,5,2,5,4,1,5,3,4,1,5,5,4,5,5,7,5,4,5,4,4,2,5,5,1,,5f4e5c2dbceeac022a1970c7,
2022-12-19 14:29:34,2022-12-19 14:38:42,0,100,547,1,2022-12-19 14:38:42,R_2WUWYR3SnhHzj7q,anonymous,EN,"1,2,3,4,5,6,7",41,2,,48,"The game I am currently playing is a tile management game. It requires you to raise armies and take over tiles. I am extremely bored by waiting to raise resources. ",,1,1,1,1,1,1,1,5,1,1,5,7,1,1,1,1,1,1,1,7,3,2,2,1,1,7,5,5,2,1,1,1,1,1,1,1,5,1,6,6,2,6,5,1,6,2,1,6,7,2,1,1,3,7,5,1,7,1,1,1,1,7,1,1,1,1,1,7,1,2,7,2,2,7,1,2,1,1,2,1,7,6,1,2,6,7,1,1,7,1,2,5,2,1,1,,5c5f2a7a5b87820001c4fa2d,
2022-12-19 14:29:24,2022-12-19 14:38:43,0,100,558,1,2022-12-19 14:38:43,R_1q4e3qikp7C673I,anonymous,EN,"1,2,3,4,5,6,7",30,1,,163,I play lots of video games. the last time was 5 minutes before taking this study I was playing a strategy game called Crusader Kings 3 I was having fun conquering the Mediterranian.,,2,2,1,2,1,2,1,7,1,2,4,1,5,5,1,7,6,3,7,5,7,7,7,2,1,2,1,2,6,4,2,1,1,3,3,3,6,2,2,2,2,2,1,2,2,2,2,1,1,1,4,5,2,2,3,1,3,2,3,2,3,2,3,2,3,2,3,2,6,5,2,5,1,4,3,6,7,4,4,3,1,3,1,2,3,1,7,7,2,5,5,6,5,7,1,,5ed0970848b82b17cc4cc542,
2022-12-19 14:27:23,2022-12-19 14:38:54,0,100,691,1,2022-12-19 14:38:55,R_pQVyLo5FyWAPOud,anonymous,EN,"1,2,3,4,5,6,7",22,1,,137,The last time i played game that i enjoyed was yesterday. I was playing counter strike global offensive with my friends. We won every game and had a lot of fun. I was really happy because i was doing good and i spend time with friends,,2,5,3,2,1,6,3,6,1,1,1,2,6,5,2,2,6,4,7,5,5,7,6,6,1,2,3,5,5,3,1,6,6,5,6,6,7,6,3,2,3,2,2,6,5,3,2,5,3,5,6,5,3,5,2,3,2,2,5,6,2,5,3,6,2,2,5,1,3,6,2,6,1,4,6,7,6,5,6,6,2,4,2,2,3,4,6,5,6,6,6,6,6,6,1,,5efa0ab395da4b7ee7afe803,
2022-12-19 14:26:37,2022-12-19 14:38:58,0,100,740,1,2022-12-19 14:38:58,R_3m3TeI5qWDoZEZl,anonymous,EN,"1,2,3,4,5,6,7",37,1,,111,"It was FIFA 22, I played aganist my friend, sometimes I won, but he was a better player than me. I felt excited and had so much fun. When I won I felt happy and a little dissapointed when I lost. ",,2,2,1,2,1,7,1,6,1,4,1,1,5,5,1,1,5,2,6,4,4,7,7,6,1,1,1,4,5,5,1,6,6,6,3,5,6,6,3,3,5,1,1,6,1,1,4,1,1,1,5,2,2,1,3,5,3,4,5,4,2,3,1,6,1,1,6,2,5,4,3,4,1,2,5,6,5,4,4,4,2,1,1,1,1,1,5,5,2,5,6,5,2,5,1,,61230876ad65890ff8619511,
2022-12-19 14:25:50,2022-12-19 14:39:07,0,100,797,1,2022-12-19 14:39:07,R_1OvjVWlMmK7fNbh,anonymous,EN,"1,2,3,4,5,6,7",19,3,,137,"The most recent game I've played was the beta for Street Fighter 6. Fighting game, played with friends. It was my first time playing this particular title and I enjoyed it very much. I quickly got a hold of it. The game is fun and allows for competition between friends. I liked looking at the characters and animations.",,5,7,1,3,1,6,1,6,1,5,2,5,4,6,1,7,6,7,6,1,7,7,7,6,2,5,2,2,6,4,1,7,5,4,1,5,6,7,4,1,1,4,1,6,1,4,2,1,3,1,7,1,1,3,2,6,4,4,6,6,5,7,1,6,1,3,7,4,5,7,3,4,1,1,5,6,5,4,7,2,4,1,1,2,1,6,3,5,1,6,6,5,6,7,1,,605f143dca6594d109a9ab40,
2022-12-19 14:25:14,2022-12-19 14:39:13,0,100,839,1,2022-12-19 14:39:14,R_vJrssN6XjCvW5nX,anonymous,EN,"1,2,3,4,5,6,7",22,2,,138,,"Rocket League. 
I just didn't like this game very much, it's not the style of game that I usually play and like. I like car games and I like playing fifa, so I thought that the combination of these two styles would be something that I would like but I was wrong",6,2,5,6,2,4,1,3,2,5,4,5,4,3,3,3,3,6,2,2,6,6,6,4,2,6,5,6,1,4,5,4,4,3,5,2,4,5,4,6,4,4,3,4,2,4,4,5,5,4,4,3,4,3,7,3,1,1,3,3,5,5,5,3,4,5,5,4,3,2,4,5,2,5,4,3,2,4,5,4,7,3,3,1,2,1,3,2,5,5,3,2,6,2,1,,5fed1a5c0538dba9454dc713,
