StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,gender,gender_5_TEXT,country,recall-pos-text,bang-1_1,bang-1_2,bang-1_3,bang-1_4,bang-1_5,bang-1_6,bang-1_7,bang-1_8,bang-1_9,bang-1_10,bang-1_11,bang-1_12,bang-1_13,bang-1_14,bang-1_15,bang-1_16,bang-1_17,bang-1_18,bang-1_19,bang-2_1,bang-2_2,bang-2_3,bang-2_4,bang-2_5,bang-2_6,bang-2_7,bang-2_8,bang-2_9,bang-2_10,bang-2_11,bang-2_12,bang-2_13,bang-2_14,bang-2_15,bang-2_16,bang-2_17,bang-2_18,bang-2_19,bang-3_1,bang-3_2,bang-3_3,bang-3_4,bang-3_5,bang-3_6,bang-3_7,bang-3_8,bang-3_9,bang-3_10,bang-3_11,bang-3_12,bang-3_13,bang-3_14,bang-3_15,bang-3_16,bang-3_17,bang-3_18,bang-3_19,bang-3_20,bang-4_1,bang-4_2,bang-4_3,bang-4_4,bang-4_5,bang-4_6,bang-4_7,bang-4_8,bang-4_9,bang-4_10,bang-4_11,bang-4_12,bang-4_13,bang-4_14,bang-4_15,bang-4_16,bang-4_17,bang-4_18,bang-4_19,bang-4_20,PROLIFIC_PID,Create New Field or Choose From Dropdown...
1/31/23 17:25,1/31/23 17:35,0,100,573,1,1/31/23 17:35,R_1CmswcklPX3Fcrk,anonymous,EN,"1,2,3,4,5,6,7",24,Man,,South Africa,"I  played euro truck simulator 2,and I  took a delivery for  2500km with my own truck, I managed to drive 2400km without crashing  and then I started relaxing. Just after that I crashed and my truck got 80% damage. That was reallyy sad because I didn't get paid",7,1,7,1,1,1,7,7,1,1,1,4,7,7,1,1,1,7,1,1,1,1,7,1,1,1,7,7,7,7,1,7,1,7,7,6,6,1,7,1,1,1,1,2,7,6,7,7,1,1,7,7,7,7,1,7,1,7,7,7,1,1,6,7,7,1,1,7,1,7,7,7,1,7,7,1,7,1,611e119ecbd642351478930d,
1/31/23 17:28,1/31/23 17:35,0,100,426,1,1/31/23 17:35,R_3F2IpsDvqmYQITQ,anonymous,EN,"1,2,3,4,5,6,7",23,Man,,France,"My most recent experience was playing Elite Dangerous in VR on PC, with a flight stick and throttle. It is a space trader/combat/exploration game. During my two-hour session I completed missions with the goal being to acquire credits for a better ship. 
I really like the game because of how completely you get absorbed into it, and the immersion afforded by VR. It really allows you to fulfill your ""spaceship captain/explorer"" fantasies.",3,4,3,2,4,2,5,4,3,3,4,3,6,5,4,5,3,6,5,2,1,4,3,4,2,2,5,6,6,6,3,5,5,5,2,2,3,2,5,2,5,4,1,2,6,4,5,6,2,4,5,6,5,6,7,6,5,2,5,5,5,3,2,6,5,2,4,2,5,2,6,3,1,5,5,2,2,5,6019ee0cfa119d1bc03eef12,
1/31/23 17:27,1/31/23 17:35,0,100,480,1,1/31/23 17:35,R_2uywbepUZ8swrBb,anonymous,EN,"1,2,3,4,5,6,7",21,Man,,Portugal,"The most recent game i played was FIFA 23 and since i didnt have much time, i only played 30/40 minutes, which equals to 4/5 games of rivals. The gameplay was awful, couldn't concentrate so i think i lost 3 and won 2. I felt kinda angry after a while and soon turned off.",2,4,2,6,4,5,5,2,5,6,7,7,2,1,7,7,6,2,7,3,2,5,1,7,7,5,3,2,1,5,6,4,6,2,2,6,1,4,2,5,1,1,7,7,2,2,1,2,5,7,3,4,1,2,5,3,5,1,6,2,7,7,1,3,3,6,6,2,5,2,4,2,2,1,5,7,3,5,5eff9162a78aa106ea6a36ec,
1/31/23 17:26,1/31/23 17:35,0,100,551,1,1/31/23 17:35,R_e4ixEkdWhCs0CaZ,anonymous,EN,"1,2,3,4,5,6,7",20,Man,,Estonia,"I played 'Dead by Deadlight', it's an asymmetrical PvP game, where there is a killer and survivors. I mostly play the killer role, and it can get quite stressful and at the same time exciting. ",5,4,6,3,3,2,7,5,3,3,4,2,7,5,4,3,2,5,1,3,1,2,3,5,3,2,6,6,2,6,3,5,3,5,2,7,2,5,4,2,1,1,5,3,6,6,2,5,1,3,6,7,6,5,1,3,2,5,5,2,4,5,2,5,5,2,2,2,5,5,5,3,3,5,7,1,3,2,5c6ff957f2d2760001a1f2ef,
1/31/23 17:30,1/31/23 17:35,0,100,298,1,1/31/23 17:35,R_1od4XWYBk5GzsNa,anonymous,EN,"1,2,3,4,5,6,7",21,Man,,Hungary,"League of Legends
i lost, of course.
how i feel?
terrible, frustrated, i always got a player who is garbabge",5,1,2,1,1,1,5,5,4,1,1,1,1,1,1,1,1,5,1,1,2,1,2,2,1,1,7,7,1,7,1,2,1,1,1,7,1,1,1,1,2,1,7,1,7,2,1,7,2,1,2,2,7,7,1,2,1,2,5,5,7,1,1,5,5,2,2,1,1,2,1,2,1,2,2,1,2,2,5eeb70e011363a08142ff479,
1/31/23 17:26,1/31/23 17:36,0,100,590,1,1/31/23 17:36,R_1GvT7WonADcx0i3,anonymous,EN,"1,2,3,4,5,6,7",21,Man,,Portugal,"The games was Sunset Override.
Its a game about an apocalypse where everyone turns a mutant because of a energy drink and you as the main character must survive and find a exit of the apocalypse.
The game relies on movement a lot.
You are able to grind, bounce and parkour in almost every surface.
The games is very funny and mocks itself, the video game characters know they are stuck in a video game and joke about that.
The game is very happy, sunny and gives sense of freedom, do whatever you want how you want.
I feel nice when Im playing the game.",7,1,7,1,1,1,7,7,1,1,1,1,7,7,1,1,1,7,1,1,7,1,7,1,1,1,7,7,7,7,1,7,1,7,7,1,1,1,5,1,7,1,1,1,7,7,7,7,1,1,7,7,7,7,1,7,1,7,7,7,1,1,7,7,7,1,1,7,1,7,7,7,1,7,7,1,7,1,5ed6cb1765948612cc4ad5fb,
1/31/23 17:29,1/31/23 17:37,0,100,469,1,1/31/23 17:37,R_dbcQQqX99xt7v7r,anonymous,EN,"1,2,3,4,5,6,7",21,Man,,Poland,"Escape From Tarkov, Tactical shooter, main purpouse is PVP, looting and survival. It's pretty stresfull but rewarding",2,6,6,1,5,1,7,4,2,6,2,2,7,6,7,3,2,6,4,5,1,4,2,1,1,5,5,5,5,6,5,6,5,1,1,1,1,7,5,2,1,1,1,2,5,2,5,5,5,6,6,7,6,5,1,5,3,2,7,7,5,6,2,7,7,6,4,5,6,2,5,4,5,1,6,1,5,5,5f917101b9db9f060223e507,
1/31/23 17:30,1/31/23 17:37,0,100,433,1,1/31/23 17:37,R_1rNeKGVeC7Eo4dx,anonymous,EN,"1,2,3,4,5,6,7",21,Man,,Portugal,"Payday2, the game is based on making heists, not just normal bank heist, but museums, docks, trains, etc etc. I feel different, since is based on something that 99% of the people never will do it in real life, so give u the opportunity to enjoy something that outerwise u would never experiece ",6,1,5,1,1,1,6,6,1,1,1,1,7,7,1,1,1,7,1,4,6,1,5,4,1,1,6,7,4,5,5,7,1,7,5,4,6,2,1,1,4,1,1,1,6,7,7,6,4,1,7,7,6,7,4,6,1,6,7,7,1,2,6,7,7,1,1,5,4,5,7,5,1,6,6,1,5,1,5e67780ca38210017a640293,
1/31/23 17:26,1/31/23 17:37,0,100,650,1,1/31/23 17:37,R_3PzDgAfUV0BWFuE,anonymous,EN,"1,2,3,4,5,6,7",22,Woman,,Poland,"The game was Minecraft, I played with my friend. We built some new buildings together and chatted. It was relaxing after a long and stressful day.",6,1,1,2,2,1,6,6,3,2,2,1,6,6,6,2,2,2,2,2,6,3,6,2,2,2,5,5,2,6,2,5,2,4,6,1,4,1,2,1,6,1,1,1,6,6,6,5,4,2,6,6,6,6,2,6,1,6,7,7,2,2,7,6,7,2,2,7,2,5,4,6,7,3,3,2,6,2,5ee386d305dd19000acbe9eb,
1/31/23 17:29,1/31/23 17:37,0,100,505,1,1/31/23 17:37,R_b1I4h5oMwGjsCIN,anonymous,EN,"1,2,3,4,5,6,7",22,Man,,Portugal,"Today I played FIFA 23. I was very interested playing it, since I didn't play any FIFA game since FIFA 20, so I decided to login to EA and use the 10 hours trial. It was a bit nostalgic and I kinda got hooked up to it right away.",4,1,1,2,1,1,4,4,3,1,1,2,7,5,1,2,1,4,4,3,2,2,4,2,1,1,6,7,4,4,1,5,1,6,1,1,2,4,1,1,5,3,2,1,7,4,4,5,4,6,6,5,5,6,4,6,1,4,6,7,1,3,1,7,7,1,1,2,2,4,4,1,4,2,4,1,4,1,6122cd9aa3383c9dbe2d36e9,
1/31/23 17:31,1/31/23 17:37,0,100,361,1,1/31/23 17:37,R_2ccp32tweHG7iuD,anonymous,EN,"1,2,3,4,5,6,7",23,Man,,Italy,"I played Monster Hunter World, in which I hunted several endgame monsters, it is a really challenging experience, but very fulfilling once you succeed",1,5,1,4,5,1,6,4,4,1,1,1,7,7,1,1,1,7,1,1,4,1,4,1,1,1,6,6,7,7,1,7,4,7,4,6,1,4,1,1,4,1,1,1,7,4,4,7,1,7,7,7,6,7,7,7,7,1,7,7,1,1,4,7,7,4,1,7,7,1,7,7,4,4,7,2,4,6,603d0916208b75af007bc015,
1/31/23 17:26,1/31/23 17:37,0,100,664,1,1/31/23 17:37,R_1rfbGESdfR1cyY5,anonymous,EN,"1,2,3,4,5,6,7",25,Man,,Poland,"It was Baldur's Gate 3 Early Access. I was playing as a lone-wolf adventurer and I felt totally entertained with in-game dialogs, graphics and encounters. It was like a good fantasy adventure book or TV series but interactive.",6,1,4,1,1,1,5,6,1,1,1,1,6,5,1,4,1,5,1,1,6,5,6,1,2,2,6,6,4,5,1,6,1,7,6,4,5,1,1,1,5,1,1,4,6,7,4,6,1,1,6,5,5,1,1,6,1,6,7,7,5,1,4,7,7,1,4,7,4,6,5,6,4,6,3,2,6,3,604a3f554e0e49706d1e3dca,
1/31/23 17:31,1/31/23 17:37,0,100,402,1,1/31/23 17:37,R_1CxP6smAOE1QSzz,anonymous,EN,"1,2,3,4,5,6,7",35,Man,,Spain,"i played a game called hearthstone  a couple of hours ago for like a hour and half, i was ranking up in hearthstone ranked with a new deck i created, it was challanging but fun its a game where one mistake can cost you the game.",4,1,4,1,1,1,2,1,1,1,1,1,7,7,1,1,1,1,2,1,1,1,1,1,1,1,6,6,6,6,1,6,1,5,1,1,1,1,1,1,1,1,1,1,7,4,4,5,2,1,5,7,6,5,2,4,4,4,5,1,1,1,1,6,6,1,1,1,1,4,6,1,1,6,6,1,5,1,5ea05760cb871c000a7ac711,
1/31/23 17:27,1/31/23 17:38,0,100,635,1,1/31/23 17:38,R_RId9qasbqhxnWql,anonymous,EN,"1,2,3,4,5,6,7",38,Man,,Mexico,"It was Call of Duty Modern Warfare 2. The game was fun, fast paced, dynamic. I felt amused for a while then, kind of bored. ",1,2,2,4,2,1,6,1,2,1,6,4,6,6,6,7,2,4,1,2,1,1,4,1,2,1,6,6,4,5,5,6,2,6,1,6,1,6,5,4,1,2,5,2,6,7,3,5,5,5,6,6,4,6,7,4,2,2,5,6,6,7,1,6,6,4,5,2,2,1,4,1,5,6,4,2,1,4,6150ffcd425f51a2c8869117,
1/31/23 17:29,1/31/23 17:38,0,100,510,1,1/31/23 17:38,R_8wPJ8Egbaqg7X4l,anonymous,EN,"1,2,3,4,5,6,7",25,Non-binary,,Mexico,League of Legends. I played with some friends one the rotating game modes. It was pretty fun.,4,2,3,2,2,2,4,4,5,3,3,3,5,5,3,4,2,4,2,2,2,1,1,1,1,1,5,5,5,4,4,4,3,5,4,3,3,5,2,2,4,2,2,2,5,3,2,2,2,2,2,4,5,5,3,5,3,4,5,5,3,3,3,5,5,2,2,3,2,4,4,4,2,4,5,3,3,4,5ec0cd1d56b9d94e97a3171d,
1/31/23 17:30,1/31/23 17:38,0,100,456,1,1/31/23 17:38,R_3O1GrPDm3pDFfIb,anonymous,EN,"1,2,3,4,5,6,7",20,Man,,Portugal,The last game I played for more than 20 minutes was gta v roleplay. I was kidnapped and held hostage in a major bank robbery. Which was frustrating because it wasn't what I wanted however I found it funny because the muggers made jokes and it's all just a game,5,4,5,5,5,6,5,6,5,6,6,5,5,5,4,5,5,4,5,6,6,5,5,3,5,5,6,6,5,6,6,5,6,4,5,3,5,3,3,3,4,5,5,5,5,6,5,5,6,6,6,6,4,5,5,5,5,5,3,5,6,3,6,5,4,5,5,5,4,5,6,6,6,6,6,3,6,6,6070ca7b3e82b17600c354e5,
1/31/23 17:33,1/31/23 17:38,0,100,271,1,1/31/23 17:38,R_3EJYC4qNDCe9R1y,anonymous,EN,"1,2,3,4,5,6,7",31,Woman,,South Africa,"Grand tourismo

Car game where you participate in races to earn money or to upgrade your car collection. I felt very happy playing the game. ",6,5,6,6,3,5,5,6,4,6,4,5,6,5,6,2,4,5,6,5,5,5,5,7,5,6,4,5,5,7,4,5,5,4,6,4,5,6,6,6,3,4,4,6,6,6,7,3,4,3,2,6,6,5,3,3,3,6,4,5,2,4,6,7,6,5,3,6,6,7,3,6,2,3,5,6,2,5,61546237a83855e2cd04604b,
1/31/23 17:33,1/31/23 17:38,0,100,267,1,1/31/23 17:38,R_6gjEXnqcMnJ4lTb,anonymous,EN,"1,2,3,4,5,6,7",20,Woman,,Poland,"It as Valorant, i felt nervous to win a round. We were missing one person bc of afk, but still menaged to win. We were shooting, planting spike and dying.",7,7,6,6,7,7,6,7,7,6,7,7,6,5,7,7,6,5,7,6,6,4,6,2,7,7,4,5,6,6,6,6,7,2,5,7,3,3,6,6,5,3,6,6,7,7,7,7,6,6,5,7,5,6,5,6,7,7,2,5,6,7,7,5,4,6,6,7,7,6,6,6,7,6,6,7,7,7,6125e0da331314347c4b1690,
1/31/23 17:33,1/31/23 17:38,0,100,317,1,1/31/23 17:38,R_OwhVe7pvs0A6Tp7,anonymous,EN,"1,2,3,4,5,6,7",22,Man,,Poland,"I played torchlight 2, it was very enjoyable and peaceful to play because I didn't do anything demanding except fishing for items in the game",4,1,4,4,4,4,4,4,4,1,4,1,4,3,4,4,3,7,4,1,1,5,4,4,4,4,1,5,2,4,4,4,4,3,3,3,4,4,4,2,4,2,3,3,4,4,3,2,3,3,4,4,4,3,3,4,4,4,7,4,1,7,1,7,4,1,7,7,4,4,4,4,4,1,4,4,4,4,609d93dea742beade6157bdc,
1/31/23 17:32,1/31/23 17:38,0,100,341,1,1/31/23 17:38,R_2bJpriFx2ghTpNS,anonymous,EN,"1,2,3,4,5,6,7",32,Man,,Slovenia,I played World of Warcraft. I did some group content with my friends. The game isn't as fun as it used to be but it's still decent and i get to chat with my friends while playing.,5,2,2,3,4,2,4,5,2,2,3,4,6,5,2,4,3,5,2,2,5,3,6,5,3,1,6,7,4,6,4,6,2,6,7,6,5,3,2,1,5,2,3,2,5,5,5,6,2,2,6,5,5,6,2,6,2,5,5,7,2,5,4,5,6,3,2,6,2,6,4,5,2,6,6,2,5,2,60a51e4cee62a3920619c905,
1/31/23 17:33,1/31/23 17:38,0,100,309,1,1/31/23 17:38,R_1rvqTrccbf5l6UA,anonymous,EN,"1,2,3,4,5,6,7",22,Man,,Poland,i was playing lol. i was trying to learn how to play with new champions. I felt excited and full of energy.,5,4,5,6,6,4,6,5,6,5,6,6,5,6,7,4,4,5,5,4,5,5,4,5,4,6,3,6,6,7,6,6,5,5,5,4,6,5,5,4,4,4,7,4,5,5,5,5,5,5,4,5,4,6,5,5,4,5,5,4,6,6,5,5,7,4,5,6,4,6,5,5,3,6,5,6,6,6,5f40127a51a8cd1129e74950,
1/31/23 17:29,1/31/23 17:38,0,100,542,1,1/31/23 17:38,R_2xMivJUvEiW29h0,anonymous,EN,"1,2,3,4,5,6,7",22,Woman,,Portugal,"League of Legends. I had not played for some time so it felt good to play again. 
I played some casual games in the free time that I had.",3,6,6,5,3,2,6,2,5,1,2,4,6,6,2,5,2,3,5,6,3,2,4,5,5,5,4,5,3,5,3,4,2,5,3,4,4,3,5,3,3,4,5,4,6,5,5,5,2,6,5,6,5,4,3,5,3,2,6,3,2,5,3,6,5,6,2,3,3,2,4,3,4,3,5,3,3,6,604fd84b494749c39720a85f,
1/31/23 17:26,1/31/23 17:38,0,100,734,1,1/31/23 17:38,R_1mq3s7rv8mU1MFA,anonymous,EN,"1,2,3,4,5,6,7",34,Man,,Poland,The last game I played was League of Legends. I was having fun despite losing. We had good teamwork and there was no toxic player on our team.,2,5,4,2,7,2,5,2,4,3,5,3,5,6,4,2,5,5,6,5,6,3,3,2,5,3,6,7,5,5,5,5,4,4,4,2,5,4,4,1,5,4,2,2,5,4,6,6,2,5,3,5,5,5,2,1,7,2,6,6,4,7,6,7,6,5,2,5,2,2,5,5,4,5,6,4,6,6,5e397c0df906aa189907c10f,
1/31/23 17:31,1/31/23 17:38,0,100,460,1,1/31/23 17:38,R_3G9UYbam7LBlutJ,anonymous,EN,"1,2,3,4,5,6,7",41,Man,,Portugal,"I played Resident Evil: Village recently. It's a very nice game with great graphics. I loved the game ambient, very creepy, it has some scares. The gameplay was nice, first person shooter unlike the first games from this series.",4,2,4,4,1,4,5,4,1,1,2,1,5,7,3,4,2,6,1,5,6,1,4,2,1,1,6,6,6,7,2,6,3,5,4,4,6,2,1,2,6,1,1,2,5,6,2,6,4,1,6,6,6,6,4,6,1,4,6,5,2,1,4,5,5,5,1,4,2,4,7,4,4,6,7,1,4,1,5dee5e827d91c34eceb20319,
1/31/23 17:27,1/31/23 17:38,0,100,666,1,1/31/23 17:38,R_5uPQz0QkNAQyuWd,anonymous,EN,"1,2,3,4,5,6,7",22,Man,,Italy,"It was a league of legends game, an aram, i got thresh and we dominated early game but the enemy team had better scaling champions so mid game they started catching up and late game they completely annhilated us. It was a bit sad losing but it was real fun",2,5,5,1,5,1,4,5,1,3,1,6,5,6,6,1,7,4,2,4,6,1,6,1,1,1,5,6,4,4,4,4,5,3,5,5,1,5,4,1,5,1,1,2,5,5,5,6,1,2,6,4,6,5,1,5,2,5,5,4,6,6,2,5,5,4,5,5,4,5,5,5,3,4,6,2,5,2,5e3f867091be661d53bd43df,
1/31/23 17:29,1/31/23 17:39,0,100,553,1,1/31/23 17:39,R_3EoILF5Un4tIJ6h,anonymous,EN,"1,2,3,4,5,6,7",35,Man,,Mexico,"I played rocksmith , i was trying to learn a new song, i really enjoy playing this game because its with a real guitar and i feel like i am really playing my favorite songs, i feel like a rockstar everytime i play this game.",2,2,2,2,2,2,6,2,2,2,1,2,2,6,1,1,1,6,3,2,2,3,2,6,1,2,6,7,2,6,2,6,2,4,1,1,4,2,2,2,7,6,1,2,6,5,4,6,5,4,6,7,7,6,7,6,1,3,7,6,1,2,2,5,6,1,2,2,2,1,6,1,1,5,7,1,1,2,5bbe4ab0ea3e2600012cefb3,
1/31/23 17:28,1/31/23 17:39,0,100,627,1,1/31/23 17:39,R_SGzN7QVICObe2Nr,anonymous,EN,"1,2,3,4,5,6,7",22,Man,,Poland,"I was playing Sonic Frontiers. I spent my time running around map, finding treasures and completing puzzles. I had much fun and i felt relaxed.",2,1,5,1,1,1,5,2,5,1,3,3,5,5,1,1,1,2,4,1,2,1,1,1,1,1,6,6,1,5,1,5,1,1,1,1,3,5,1,1,6,1,1,2,5,3,1,5,1,3,4,5,6,5,1,5,1,1,6,7,1,1,3,5,6,1,1,2,1,2,3,1,1,4,5,3,1,2,5f456743ffe9f514a492e49a,
1/31/23 17:33,1/31/23 17:39,0,100,348,1,1/31/23 17:39,R_3lQvcf0cM7m1MZk,anonymous,EN,"1,2,3,4,5,6,7",36,Woman,,Italy,"It was a League of Legends match, I felt good because I played nice and we won the game and I feel like I contributed a lot to help my teammates during the match.",6,1,4,4,1,2,7,7,1,1,1,1,6,7,1,3,1,7,1,1,7,2,6,3,1,2,7,7,6,7,1,7,1,6,7,5,5,2,4,2,7,2,2,2,6,7,7,7,1,2,7,7,7,7,2,7,1,5,7,6,1,1,4,7,7,2,2,7,6,4,7,5,4,7,7,1,7,2,5fa308ca96f8c55affa1b4ca,
1/31/23 17:31,1/31/23 17:39,0,100,484,1,1/31/23 17:39,R_acarUNYnc2CHRux,anonymous,EN,"1,2,3,4,5,6,7",38,Man,,Hungary,"I played Dead Cells, it really made me feel fast and coordinated (since killing is so fast in it).",1,1,2,1,1,1,5,1,5,1,4,1,3,5,1,1,1,5,5,1,1,1,1,1,1,1,6,7,6,6,2,7,1,3,1,1,1,5,4,1,1,2,1,1,7,7,1,5,1,1,7,6,7,6,4,6,1,1,4,2,1,2,1,5,5,5,1,1,3,1,1,1,1,1,5,2,1,1,6008b7087367795557f236cd,
1/31/23 17:31,1/31/23 17:39,0,100,495,1,1/31/23 17:39,R_SBDX3j9p67xUWxH,anonymous,EN,"1,2,3,4,5,6,7",21,Man,,Poland,"I was playing ""Hades"". I had fun, moved the main plot a bit forward, i did a few sidequests. At the end I was a bit frustrated because i wasn't able to pass a boss yet. Overall it was fun",2,3,3,1,1,1,5,4,3,5,2,4,7,6,4,4,2,3,4,3,5,1,3,1,1,1,5,5,4,5,3,5,4,6,5,4,5,2,2,2,4,1,1,1,6,6,5,5,1,4,6,5,4,6,4,5,2,2,6,5,2,3,4,7,7,6,1,3,2,2,5,2,1,1,5,2,5,3,5f82f33bd9d68d41bb057fc9,
1/31/23 17:31,1/31/23 17:39,0,100,495,1,1/31/23 17:39,R_1DuQcTOLDXjykEi,anonymous,EN,"1,2,3,4,5,6,7",30,Man,,Poland,It was Elden Ring and I was farming a good sword for 40 minutes by killing skeletons. I was feeling a little bored but also excited once it finally dropped. ,1,1,4,1,1,1,5,1,7,1,6,6,4,4,4,1,1,4,3,4,2,1,1,6,1,1,4,4,3,5,1,4,1,6,1,1,4,6,2,1,1,6,1,4,4,3,1,4,4,3,6,5,5,5,4,4,1,1,3,5,1,2,1,6,5,4,1,1,2,1,3,1,1,1,4,3,1,1,5ee8f1756f6ba90cc873a9a9,
1/31/23 17:34,1/31/23 17:39,0,100,299,1,1/31/23 17:39,R_1onlHiXjCci7k13,anonymous,EN,"1,2,3,4,5,6,7",29,Man,,Germany,"The last game I played was Call of Duty: MWII, where I played an online session. In-game I feel somewhat tense as it's a very fast-paced game but it helps me to unwind at the end of the day. ",2,2,2,5,4,3,5,3,6,4,2,5,5,5,5,5,3,4,2,3,1,2,1,5,4,3,5,5,3,5,3,4,4,5,2,6,3,5,6,5,5,3,5,2,5,5,3,5,2,2,6,6,6,5,6,5,2,1,6,5,3,2,2,5,5,3,4,2,2,1,4,2,7,3,5,2,3,2,63c0653ce21d30f481a59819,
1/31/23 17:29,1/31/23 17:39,0,100,645,1,1/31/23 17:39,R_10N7kEqUKyc2WkE,anonymous,EN,"1,2,3,4,5,6,7",20,Man,,Portugal,Rocket League. I failed a lot of goals. It feels exciting but frustrating at the same time,5,7,5,3,6,3,6,6,6,5,5,6,6,6,4,3,3,6,6,6,6,6,6,5,6,5,6,6,6,6,5,6,5,6,5,5,6,6,6,3,6,5,5,5,6,6,6,7,5,6,6,6,6,6,4,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,5fe100d9ece28c2fa6e9a5a1,
1/31/23 17:29,1/31/23 17:39,0,100,648,1,1/31/23 17:39,R_30nGB9ozwZGRLCg,anonymous,EN,"1,2,3,4,5,6,7",22,Man,,Portugal,"I played League with some friends. It wasn't really pleasant. It feels like games are becoming faster and adapting to the younger generation, who is focused on too many micro mechanics. It's getting harder for me, and making me and others slowly lose interest in games.",1,7,6,7,7,7,1,1,7,7,7,7,1,1,6,4,6,1,7,7,3,5,1,5,5,7,2,2,1,1,6,1,7,1,1,7,1,7,7,7,1,5,7,7,1,5,1,1,4,7,1,1,1,1,7,1,7,1,1,1,7,7,1,1,1,1,7,1,7,1,1,1,7,1,1,7,1,7,60d681b7cb1baaaab8d901a6,
1/31/23 17:29,1/31/23 17:39,0,100,652,1,1/31/23 17:39,R_YXfmOFbkJUBiNMt,anonymous,EN,"1,2,3,4,5,6,7",24,Woman,,Greece,"The last game I played was ""Ace Attorney"" on the Nintendo Switch. It's a game about being a lawyer and trying to prove that your clients are innocent on trial, while presenting evidence and contradictions in witnesses' testimonies. I got really immersed in the lawyer role, getting that ""aha!"" feeling every time I proved something right. I also felt very clever when solving the case. I get very connected to my clients and I go above and beyond to prove their innocence, even though they are fictional. Until now, I had lost in a single trial and that raised the stakes for me.",7,2,4,3,1,1,5,7,1,1,3,6,2,7,5,4,2,6,1,3,7,2,7,3,5,2,6,7,7,6,4,7,3,2,7,4,7,1,1,1,6,1,1,5,3,5,6,5,1,6,6,7,7,4,2,6,1,7,6,6,5,3,7,2,5,7,3,7,2,7,7,7,4,6,7,2,7,1,61006e8a4fe954de47730409,
1/31/23 17:31,1/31/23 17:40,0,100,510,1,1/31/23 17:40,R_2dT7STwHMzZ6ae8,anonymous,EN,"1,2,3,4,5,6,7",24,Man,,Italy,"Turn based strategy game, i intended to play for just an hour but i kinda lost the sense of the clock",5,2,4,2,1,6,6,5,1,5,4,2,7,7,5,4,5,4,4,3,6,5,5,4,2,1,6,6,6,6,2,7,7,7,5,4,6,4,1,3,5,4,5,3,7,7,1,7,7,5,7,7,3,6,7,7,2,6,7,7,4,5,4,6,6,3,2,4,5,5,5,2,4,2,1,2,4,2,5e825a5ece25959797b7d984,
1/31/23 17:30,1/31/23 17:40,0,100,576,1,1/31/23 17:40,R_3lA2H8jvD5robtD,anonymous,EN,"1,2,3,4,5,6,7",20,Man,,Portugal,"The last game I played for more than 20 minutes was league of legends, it was a ranked game that I ended up winning and so I felt good.",3,3,2,5,3,2,5,5,4,4,2,5,6,6,5,3,2,5,2,1,3,5,6,3,2,1,5,5,2,6,2,6,5,6,4,6,5,3,5,3,6,2,5,5,5,7,5,6,3,3,5,6,5,7,2,5,2,5,6,7,2,3,3,7,5,5,3,3,7,5,6,5,6,5,5,6,4,3,6145dddfa6fcfd396e1f4f1a,
1/31/23 17:33,1/31/23 17:40,0,100,408,1,1/31/23 17:40,R_3JdZdAh5l4LNdpo,anonymous,EN,"1,2,3,4,5,6,7",27,Man,,Italy,"In the last gaming session I played Assassin's Creed Syndicate. I impersonated both Jacob and Evie for two different approaches to the game: the former focused on action, the latter on stealth. I enjoyed playing a few side quests, although the game is poorly optimised so it created some frustration due to framerate drops (I'm someone who cares a lot about graphics)",1,1,3,1,1,1,7,1,1,1,2,1,7,7,5,1,1,7,2,1,1,1,6,1,1,1,7,7,6,7,7,7,1,7,1,4,4,7,1,1,7,1,1,1,7,7,1,7,1,1,7,7,7,7,1,7,1,1,7,7,1,1,4,7,7,7,1,1,1,1,5,4,4,2,7,1,7,1,613705830e64a8ef2eaf4292,
1/31/23 17:29,1/31/23 17:40,0,100,624,1,1/31/23 17:40,R_3PXdESiJ2zneeag,anonymous,EN,"1,2,3,4,5,6,7",24,Man,,Portugal,"I played apex legends with a friend, we lost a couple of matches , i felt good at first because we didnt play apex for quite some time, but when we started losing we just gave up and went to play another game",1,5,3,4,5,4,3,1,3,2,3,5,7,3,5,3,4,3,5,5,1,1,1,1,2,5,3,4,3,3,5,3,5,1,1,4,5,7,5,2,5,1,1,2,7,5,4,3,1,5,3,3,2,6,1,4,2,1,6,6,5,5,1,7,7,3,3,1,7,1,5,5,2,5,6,5,4,5,61678cac42a2c1fecd5e0800,
1/31/23 17:33,1/31/23 17:40,0,100,388,1,1/31/23 17:40,R_2ygEnP8bWF0f4uc,anonymous,EN,"1,2,3,4,5,6,7",37,Man,,Mexico,"The last time I played a video game was League of Legends a few days ago, I remember that I felt pretty good for having the time to play a few games, my team was pretty good, I was a bit rusty but I played the best I could, at least In the end we won several games that day.",6,6,4,2,4,3,7,5,2,4,1,5,7,7,6,5,4,4,5,3,5,3,5,6,5,4,6,5,6,4,5,5,2,3,4,5,1,2,5,3,3,5,4,4,3,5,6,5,4,3,5,6,7,6,5,6,6,6,6,3,3,4,2,4,5,6,4,5,7,5,4,2,5,5,5,5,5,3,613c006415e98728127c6085,
